# precip,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm),VARIANCE(mm^2),STD_DEV(mm)
1979-06-20T00:00:00Z,1.2309475,2.3541856,1.5343355
1979-06-21T00:00:00Z,3.649356,4.656968,2.158001
1979-06-22T00:00:00Z,5.7417636,25.24432,5.0243726
1979-06-23T00:00:00Z,3.3934312,15.7101755,3.9636064
1979-06-24T00:00:00Z,5.4801435,17.347805,4.1650696
1979-06-25T00:00:00Z,0.2084252,0.7053434,0.83984727
1979-06-26T00:00:00Z,0,0,0
1979-06-27T00:00:00Z,0,0,0
1979-06-28T00:00:00Z,0.002768561,0.001024559,0.032008734
1979-06-29T00:00:00Z,0.16357744,0.064467154,0.25390384
1979-06-30T00:00:00Z,4.8796577,14.099864,3.7549787
1979-07-01T00:00:00Z,1.3812376,2.5237215,1.5886225
1979-07-02T00:00:00Z,0,0,0
1979-07-03T00:00:00Z,0,0,0
1979-07-04T00:00:00Z,2.4028976,5.8292785,2.4143898
1979-07-05T00:00:00Z,0.0360471,0.018297257,0.13526736
1979-07-06T00:00:00Z,1.1856292,4.823901,2.1963382
1979-07-07T00:00:00Z,3.5268452,44.5336,6.67335
1979-07-08T00:00:00Z,0.5869412,0.8566364,0.9255466
1979-07-09T00:00:00Z,3.2384794,12.380032,3.5185268
1979-07-10T00:00:00Z,2.4772985,3.4417818,1.855204
1979-07-11T00:00:00Z,0.11988203,0.067570575,0.2599434
1979-07-12T00:00:00Z,5.315067,8.591437,2.9311154
1979-07-13T00:00:00Z,0.6173252,0.7315178,0.8552881
1979-07-14T00:00:00Z,0.5088033,1.1466246,1.0708055
1979-07-15T00:00:00Z,3.3124635,4.5416937,2.131125
1979-07-16T00:00:00Z,2.4135988,3.6851568,1.9196762
1979-07-17T00:00:00Z,5.601557,31.172005,5.5831895
1979-07-18T00:00:00Z,7.3095417,26.860031,5.1826663
1979-07-19T00:00:00Z,12.224497,91.999565,9.59164
1979-07-20T00:00:00Z,18.110342,61.36399,7.833517
1979-07-21T00:00:00Z,8.023603,10.371212,3.2204366
1979-07-22T00:00:00Z,3.1052077,4.520422,2.1261284
1979-07-23T00:00:00Z,5.406434,16.418905,4.052025
1979-07-24T00:00:00Z,7.8956804,17.170013,4.1436715
1979-07-25T00:00:00Z,2.842968,2.1034532,1.4503286
1979-07-26T00:00:00Z,1.627985,2.2422764,1.4974233
1979-07-27T00:00:00Z,2.1589746,4.630755,2.151919
1979-07-28T00:00:00Z,0.013704766,0.005100852,0.07142025
1979-07-29T00:00:00Z,0.017985597,0.008493829,0.09216197
1979-07-30T00:00:00Z,1.0261054,3.2376864,1.7993572
1979-07-31T00:00:00Z,0.94754654,3.6186733,1.902281
1979-08-01T00:00:00Z,1.3256688,2.4331243,1.5598475
1979-08-02T00:00:00Z,6.437147,40.424248,6.3580065
1979-08-03T00:00:00Z,0.2628295,0.12592229,0.35485533
1979-08-04T00:00:00Z,0.00693701,0.004314023,0.06568123
1979-08-05T00:00:00Z,0.003929567,0.001695377,0.041174952
1979-08-06T00:00:00Z,0.112051256,0.08116409,0.28489313
1979-08-07T00:00:00Z,0.2001809,0.24453986,0.49450973
1979-08-08T00:00:00Z,0.015231365,0.007391464,0.08597363
1979-08-09T00:00:00Z,0,0,0
1979-08-10T00:00:00Z,1.9258515,3.6648686,1.9143846
1979-08-11T00:00:00Z,8.962565,25.361677,5.036038
1979-08-12T00:00:00Z,5.1185155,26.39932,5.1380267
1979-08-13T00:00:00Z,0,0,0
1979-08-14T00:00:00Z,0,0,0
1979-08-15T00:00:00Z,0,0,0
1979-08-16T00:00:00Z,0,0,0
1979-08-17T00:00:00Z,0,0,0
1979-08-18T00:00:00Z,0.08777181,0.091357745,0.30225444
1979-08-19T00:00:00Z,0.4800883,0.42176223,0.64943224
1979-08-20T00:00:00Z,2.207054,4.3783894,2.0924602
1979-08-21T00:00:00Z,6.3631425,53.192436,7.2933145
1979-08-22T00:00:00Z,2.774663,8.782323,2.9634986
1979-08-23T00:00:00Z,3.76755,10.178105,3.1903143
1979-08-24T00:00:00Z,3.2994199,7.694065,2.7738178
1979-08-25T00:00:00Z,2.9717824,5.4883637,2.3427258
1979-08-26T00:00:00Z,2.718785,4.9089656,2.2156186
1979-08-27T00:00:00Z,5.971703,24.304813,4.9299912
1979-08-28T00:00:00Z,6.6837893,30.652464,5.5364666
1979-08-29T00:00:00Z,2.39145,6.3936043,2.5285578
1979-08-30T00:00:00Z,3.4448822,13.032573,3.6100655
1979-08-31T00:00:00Z,4.722552,21.305868,4.615828
1979-09-01T00:00:00Z,7.198858,20.816761,4.562539
1979-09-02T00:00:00Z,4.3579855,7.236274,2.6900322
1979-09-03T00:00:00Z,7.8683457,16.008993,4.001124
1979-09-04T00:00:00Z,35.921978,350.7107,18.727272
1979-09-05T00:00:00Z,53.56866,358.29984,18.92881
1979-09-06T00:00:00Z,2.245048,2.8521168,1.6888211
1979-09-07T00:00:00Z,0.20805654,0.16288833,0.4035943
1979-09-08T00:00:00Z,0,0,0
1979-09-09T00:00:00Z,0.016528804,0.005913027,0.076896206
1979-09-10T00:00:00Z,0.042836495,0.014477305,0.12032167
1979-09-11T00:00:00Z,0.002630472,0.001309189,0.036182716
1979-09-12T00:00:00Z,1.7649556,1.156233,1.0752827
1979-09-13T00:00:00Z,9.065655,39.224697,6.2629623
1979-09-14T00:00:00Z,1.8437526,1.7563975,1.3252915
1979-09-15T00:00:00Z,0,0,0
1979-09-16T00:00:00Z,0.23106802,1.6329873,1.2778839
1979-09-17T00:00:00Z,0,0,0
1979-09-18T00:00:00Z,0.00108639,5.47E-04,0.023383604
1979-09-19T00:00:00Z,0.5622949,2.4454262,1.5637859
1979-09-20T00:00:00Z,3.195469,8.440975,2.9053357
1979-09-21T00:00:00Z,31.03146,272.25427,16.50013
1979-09-22T00:00:00Z,28.748556,425.59875,20.630045
1979-09-23T00:00:00Z,1.3804811,4.274242,2.067424
1979-09-24T00:00:00Z,2.2352016,1.1418992,1.0685968
1979-09-25T00:00:00Z,3.0674903,7.040644,2.6534212
1979-09-26T00:00:00Z,2.073763,2.7823253,1.6680304
1979-09-27T00:00:00Z,5.7882323,45.339222,6.7334404
1979-09-28T00:00:00Z,12.082569,22.609745,4.7549706
1979-09-29T00:00:00Z,16.76349,78.92182,8.883796
1979-09-30T00:00:00Z,7.130848,41.863895,6.4702315
1979-10-01T00:00:00Z,5.7745695,14.802976,3.8474636
1979-10-02T00:00:00Z,5.467114,24.94334,4.994331
1979-10-03T00:00:00Z,0.3747229,0.34921017,0.59094006
1979-10-04T00:00:00Z,13.929451,40.90595,6.395776
1979-10-05T00:00:00Z,12.946886,25.606365,5.060273
1979-10-06T00:00:00Z,0.004373824,0.001887911,0.043450102
1979-10-07T00:00:00Z,0,0,0
1979-10-08T00:00:00Z,0.009076498,0.003141286,0.056047175
1979-10-09T00:00:00Z,2.521657,6.26328,2.5026546
1979-10-10T00:00:00Z,9.625869,21.683146,4.6565166
1979-10-11T00:00:00Z,0.024978945,0.012308996,0.11094592
1979-10-12T00:00:00Z,1.1309334,0.43124875,0.6566953
1979-10-13T00:00:00Z,3.3677373,8.257289,2.87355
1979-10-14T00:00:00Z,0,0,0
1979-10-15T00:00:00Z,0,0,0
1979-10-16T00:00:00Z,0,0,0
1979-10-17T00:00:00Z,0.003374209,0.001001215,0.031641986
1979-10-18T00:00:00Z,0.006441912,0.002804235,0.052955028
1979-10-19T00:00:00Z,0.08522388,0.051950384,0.22792627
1979-10-20T00:00:00Z,0.09535535,0.06944965,0.26353303
1979-10-21T00:00:00Z,0.017982326,0.005918777,0.076933585
1979-10-22T00:00:00Z,0.8769766,1.2778131,1.130404
1979-10-23T00:00:00Z,8.702909,19.889957,4.459816
1979-10-24T00:00:00Z,0.03740424,0.05479018,0.23407303
1979-10-25T00:00:00Z,0,0,0
1979-10-26T00:00:00Z,0,0,0
1979-10-27T00:00:00Z,0,0,0
1979-10-28T00:00:00Z,0.50916505,1.348516,1.1612562
1979-10-29T00:00:00Z,2.8237007,31.062832,5.573404
1979-10-30T00:00:00Z,0.8731338,4.335237,2.0821233
1979-10-31T00:00:00Z,0.08351159,0.053159177,0.23056273
1979-11-01T00:00:00Z,5.3502154,13.270199,3.6428285
1979-11-02T00:00:00Z,34.570786,114.003784,10.677256
1979-11-03T00:00:00Z,3.2301188,11.617998,3.4085186
1979-11-04T00:00:00Z,0.012789181,0.004304943,0.06561206
1979-11-05T00:00:00Z,0.013333126,0.005515896,0.07426908
1979-11-06T00:00:00Z,0,0,0
1979-11-07T00:00:00Z,5.20E-04,1.56E-04,0.012477445
1979-11-08T00:00:00Z,0.34087327,0.35273814,0.5939176
1979-11-09T00:00:00Z,2.8671637,9.127739,3.0212147
1979-11-10T00:00:00Z,28.996496,46.169876,6.794842
1979-11-11T00:00:00Z,22.220102,115.8805,10.76478
1979-11-12T00:00:00Z,0.7663451,0.6430355,0.80189496
1979-11-13T00:00:00Z,0.613701,0.31934932,0.56511
1979-11-14T00:00:00Z,0,0,0
1979-11-15T00:00:00Z,0,0,0
1979-11-16T00:00:00Z,0,0,0
1979-11-17T00:00:00Z,0,0,0
1979-11-18T00:00:00Z,0,0,0
1979-11-19T00:00:00Z,0,0,0
1979-11-20T00:00:00Z,0,0,0
1979-11-21T00:00:00Z,0,0,0
1979-11-22T00:00:00Z,0.24706592,0.24626625,0.4962522
1979-11-23T00:00:00Z,0.8945016,2.8615973,1.6916257
1979-11-24T00:00:00Z,1.4545721,4.9969945,2.235396
1979-11-25T00:00:00Z,8.9218445,11.392723,3.375311
1979-11-26T00:00:00Z,21.19169,42.226967,6.498228
1979-11-27T00:00:00Z,0,0,0
1979-11-28T00:00:00Z,0.008528019,0.005461751,0.07390366
1979-11-29T00:00:00Z,8.51E-04,4.09E-04,0.020233162
1979-11-30T00:00:00Z,0.02389268,0.008527363,0.09234372
1979-12-01T00:00:00Z,0,0,0
1979-12-02T00:00:00Z,0,0,0
1979-12-03T00:00:00Z,0,0,0
1979-12-04T00:00:00Z,0,0,0
1979-12-05T00:00:00Z,0,0,0
1979-12-06T00:00:00Z,7.5809426,8.728186,2.9543502
1979-12-07T00:00:00Z,0,0,0
1979-12-08T00:00:00Z,0,0,0
1979-12-09T00:00:00Z,0,0,0
1979-12-10T00:00:00Z,0,0,0
1979-12-11T00:00:00Z,0,0,0
1979-12-12T00:00:00Z,2.4505913,1.6463141,1.2830877
1979-12-13T00:00:00Z,3.9366066,3.3162026,1.8210443
1979-12-14T00:00:00Z,0.033376437,0.013410585,0.115804076
1979-12-15T00:00:00Z,1.2661427,5.5680633,2.3596745
1979-12-16T00:00:00Z,0.6167694,0.37918758,0.6157821
1979-12-17T00:00:00Z,0,0,0
1979-12-18T00:00:00Z,0,0,0
1979-12-19T00:00:00Z,0,0,0
1979-12-20T00:00:00Z,4.40E-04,1.32E-04,0.011479282
1979-12-21T00:00:00Z,0,0,0
1979-12-22T00:00:00Z,0,0,0
1979-12-23T00:00:00Z,2.9151745,13.084864,3.6173005
1979-12-24T00:00:00Z,8.179204,4.204605,2.0505135
1979-12-25T00:00:00Z,1.5287311,1.2932734,1.1372218
1979-12-26T00:00:00Z,0,0,0
1979-12-27T00:00:00Z,0,0,0
1979-12-28T00:00:00Z,0.017416192,0.010350595,0.10173788
1979-12-29T00:00:00Z,0,0,0
1979-12-30T00:00:00Z,2.1530213,3.977261,1.9943072
1979-12-31T00:00:00Z,0.0715264,0.066253416,0.25739738
1980-01-01T00:00:00Z,0.082268104,0.075838946,0.27538872
1980-01-02T00:00:00Z,0.018693391,0.006519434,0.080743015
1980-01-03T00:00:00Z,0.021243144,0.016035793,0.12663251
1980-01-04T00:00:00Z,6.6075435,4.0267386,2.0066736
1980-01-05T00:00:00Z,2.2291565,3.8527312,1.9628376
1980-01-06T00:00:00Z,0.1990882,0.055410843,0.23539507
1980-01-07T00:00:00Z,2.284063,2.7035098,1.6442354
1980-01-08T00:00:00Z,3.4572568,18.336332,4.2820945
1980-01-09T00:00:00Z,0.5201445,0.46166083,0.6794563
1980-01-10T00:00:00Z,1.3782098,2.6223328,1.6193619
1980-01-11T00:00:00Z,19.453577,12.448184,3.5281985
1980-01-12T00:00:00Z,2.557082,3.9119956,1.9778765
1980-01-13T00:00:00Z,6.873097,22.78154,4.773001
1980-01-14T00:00:00Z,11.1168375,20.907837,4.572509
1980-01-15T00:00:00Z,0.11034489,0.07274474,0.26971233
1980-01-16T00:00:00Z,0,0,0
1980-01-17T00:00:00Z,9.611335,38.494427,6.2043877
1980-01-18T00:00:00Z,21.531855,13.898544,3.728075
1980-01-19T00:00:00Z,0.012652432,0.004626166,0.068015926
1980-01-20T00:00:00Z,1.10E-04,3.30E-05,0.0057428
1980-01-21T00:00:00Z,0.20461705,0.59112275,0.7688451
1980-01-22T00:00:00Z,12.570744,13.079831,3.6166048
1980-01-23T00:00:00Z,2.133648,3.0230067,1.7386795
1980-01-24T00:00:00Z,0,0,0
1980-01-25T00:00:00Z,0.007182463,0.002301812,0.04797721
1980-01-26T00:00:00Z,0.656433,0.5680763,0.75370836
1980-01-27T00:00:00Z,1.3165253,1.3235289,1.1504472
1980-01-28T00:00:00Z,0.001843721,5.50E-04,0.023450006
1980-01-29T00:00:00Z,0.2921103,0.3008128,0.54846406
1980-01-30T00:00:00Z,1.8613629,0.6345747,0.79660195
1980-01-31T00:00:00Z,5.3550262,4.691728,2.1660397
1980-02-01T00:00:00Z,0.04051232,0.015774215,0.12559544
1980-02-02T00:00:00Z,0.01005557,0.005024915,0.070886634
1980-02-03T00:00:00Z,0,0,0
1980-02-04T00:00:00Z,0.023128126,0.006994516,0.08363322
1980-02-05T00:00:00Z,0.39211708,0.22005323,0.4690983
1980-02-06T00:00:00Z,5.0311794,3.3964217,1.8429383
1980-02-07T00:00:00Z,0.07228296,0.031172236,0.17655662
1980-02-08T00:00:00Z,0.28823766,0.15791313,0.39738286
1980-02-09T00:00:00Z,14.592966,11.699694,3.4204814
1980-02-10T00:00:00Z,4.5146103,7.0671535,2.6584117
1980-02-11T00:00:00Z,0.10034692,0.086140886,0.29349768
1980-02-12T00:00:00Z,0.034342624,0.018110758,0.13457622
1980-02-13T00:00:00Z,0.001319228,3.94E-04,0.019853491
1980-02-14T00:00:00Z,0,0,0
1980-02-15T00:00:00Z,0.18576382,0.102128446,0.3195754
1980-02-16T00:00:00Z,0.7937725,0.7510646,0.86663985
1980-02-17T00:00:00Z,0,0,0
1980-02-18T00:00:00Z,0,0,0
1980-02-19T00:00:00Z,0.09558743,0.06826421,0.26127422
1980-02-20T00:00:00Z,2.014878,1.7233647,1.3127699
1980-02-21T00:00:00Z,0.44694638,0.15464285,0.39324656
1980-02-22T00:00:00Z,1.993072,0.84342116,0.9183796
1980-02-23T00:00:00Z,1.2741399,1.1860622,1.0890648
1980-02-24T00:00:00Z,0.28411263,0.3254616,0.57049245
1980-02-25T00:00:00Z,3.5519695,6.5354877,2.55646
1980-02-26T00:00:00Z,1.1033636,1.9623451,1.4008373
1980-02-27T00:00:00Z,0,0,0
1980-02-28T00:00:00Z,0.00409912,0.001453952,0.038130723
1980-02-29T00:00:00Z,0,0,0
1980-03-01T00:00:00Z,14.115276,9.947003,3.153887
1980-03-02T00:00:00Z,4.854589,16.65011,4.0804543
1980-03-03T00:00:00Z,0.1934446,0.21575056,0.46448958
1980-03-04T00:00:00Z,0.5965546,0.2886415,0.5372537
1980-03-05T00:00:00Z,3.710466,2.0880783,1.4450184
1980-03-06T00:00:00Z,0,0,0
1980-03-07T00:00:00Z,2.699164,9.223314,3.036991
1980-03-08T00:00:00Z,9.338537,18.50046,4.301216
1980-03-09T00:00:00Z,0.04716815,0.014590508,0.120791174
1980-03-10T00:00:00Z,0.36410174,0.3072477,0.5542993
1980-03-11T00:00:00Z,0.40518904,0.411389,0.6413961
1980-03-12T00:00:00Z,6.7677,24.414156,4.941068
1980-03-13T00:00:00Z,5.3424954,9.663794,3.1086643
1980-03-14T00:00:00Z,0.36186427,0.68456423,0.827384
